symbol,observation_date,value
TWEXBMTH,1973/1/1,33.9689
TWEXBMTH,1973/2/1,32.5799
TWEXBMTH,1973/3/1,31.5849
TWEXBMTH,1973/4/1,31.7681
TWEXBMTH,1973/5/1,31.5727
TWEXBMTH,1973/6/1,31.0864
TWEXBMTH,1973/7/1,30.638
TWEXBMTH,1973/8/1,30.9817
TWEXBMTH,1973/9/1,31.0687
TWEXBMTH,1973/10/1,30.9637
TWEXBMTH,1973/11/1,31.9322
TWEXBMTH,1973/12/1,32.3099
TWEXBMTH,1974/1/1,33.2966
TWEXBMTH,1974/2/1,32.7832
TWEXBMTH,1974/3/1,32.2859
TWEXBMTH,1974/4/1,31.9676
TWEXBMTH,1974/5/1,31.7863
TWEXBMTH,1974/6/1,32.1004
TWEXBMTH,1974/7/1,32.3673
TWEXBMTH,1974/8/1,32.817
TWEXBMTH,1974/9/1,32.98
TWEXBMTH,1974/10/1,32.9278
TWEXBMTH,1974/11/1,32.8329
TWEXBMTH,1974/12/1,32.835
TWEXBMTH,1975/1/1,32.6697
TWEXBMTH,1975/2/1,32.3875
TWEXBMTH,1975/3/1,32.2864
TWEXBMTH,1975/4/1,32.7536
TWEXBMTH,1975/5/1,32.8936
TWEXBMTH,1975/6/1,33.0442
TWEXBMTH,1975/7/1,33.8632
TWEXBMTH,1975/8/1,34.4933
TWEXBMTH,1975/9/1,34.802
TWEXBMTH,1975/10/1,34.8849
TWEXBMTH,1975/11/1,34.898
TWEXBMTH,1975/12/1,35.1408
TWEXBMTH,1976/1/1,35.0989
TWEXBMTH,1976/2/1,35.0785
TWEXBMTH,1976/3/1,35.3543
TWEXBMTH,1976/4/1,35.579
TWEXBMTH,1976/5/1,35.6959
TWEXBMTH,1976/6/1,35.8105
TWEXBMTH,1976/7/1,35.6818
TWEXBMTH,1976/8/1,35.6569
TWEXBMTH,1976/9/1,36.0674
TWEXBMTH,1976/10/1,36.3137
TWEXBMTH,1976/11/1,36.7548
TWEXBMTH,1976/12/1,36.8179
TWEXBMTH,1977/1/1,36.7763
TWEXBMTH,1977/2/1,36.9765
TWEXBMTH,1977/3/1,37.0694
TWEXBMTH,1977/4/1,36.97
TWEXBMTH,1977/5/1,37.0205
TWEXBMTH,1977/6/1,37.0311
TWEXBMTH,1977/7/1,36.771
TWEXBMTH,1977/8/1,37.0361
TWEXBMTH,1977/9/1,37.1626
TWEXBMTH,1977/10/1,36.889
TWEXBMTH,1977/11/1,36.6512
TWEXBMTH,1977/12/1,36.1587
TWEXBMTH,1978/1/1,35.9432
TWEXBMTH,1978/2/1,35.9357
TWEXBMTH,1978/3/1,35.7324
TWEXBMTH,1978/4/1,35.6907
TWEXBMTH,1978/5/1,35.9918
TWEXBMTH,1978/6/1,35.5401
TWEXBMTH,1978/7/1,34.8406
TWEXBMTH,1978/8/1,34.2486
TWEXBMTH,1978/9/1,34.3306
TWEXBMTH,1978/10/1,33.7305
TWEXBMTH,1978/11/1,34.4819
TWEXBMTH,1978/12/1,34.6557
TWEXBMTH,1979/1/1,34.656
TWEXBMTH,1979/2/1,34.8596
TWEXBMTH,1979/3/1,34.9715
TWEXBMTH,1979/4/1,35.3069
TWEXBMTH,1979/5/1,35.5728
TWEXBMTH,1979/6/1,35.5731
TWEXBMTH,1979/7/1,35.0481
TWEXBMTH,1979/8/1,35.2184
TWEXBMTH,1979/9/1,35.2723
TWEXBMTH,1979/10/1,35.724
TWEXBMTH,1979/11/1,36.2129
TWEXBMTH,1979/12/1,35.885
TWEXBMTH,1980/1/1,35.86
TWEXBMTH,1980/2/1,36.2089
TWEXBMTH,1980/3/1,37.1465
TWEXBMTH,1980/4/1,37.4326
TWEXBMTH,1980/5/1,36.259
TWEXBMTH,1980/6/1,35.6922
TWEXBMTH,1980/7/1,35.7021
TWEXBMTH,1980/8/1,36.1026
TWEXBMTH,1980/9/1,35.8811
TWEXBMTH,1980/10/1,36.0536
TWEXBMTH,1980/11/1,36.7653
TWEXBMTH,1980/12/1,37.1358
TWEXBMTH,1981/1/1,37.0637
TWEXBMTH,1981/2/1,38.05
TWEXBMTH,1981/3/1,38.2959
TWEXBMTH,1981/4/1,39.0399
TWEXBMTH,1981/5/1,40.1449
TWEXBMTH,1981/6/1,40.9463
TWEXBMTH,1981/7/1,41.8342
TWEXBMTH,1981/8/1,42.5119
TWEXBMTH,1981/9/1,41.8378
TWEXBMTH,1981/10/1,41.7382
TWEXBMTH,1981/11/1,41.2352
TWEXBMTH,1981/12/1,41.4273
TWEXBMTH,1982/1/1,42.1104
TWEXBMTH,1982/2/1,43.5598
TWEXBMTH,1982/3/1,44.8249
TWEXBMTH,1982/4/1,45.2875
TWEXBMTH,1982/5/1,44.8653
TWEXBMTH,1982/6/1,46.8101
TWEXBMTH,1982/7/1,47.5219
TWEXBMTH,1982/8/1,48.6651
TWEXBMTH,1982/9/1,49.1017
TWEXBMTH,1982/10/1,49.8821
TWEXBMTH,1982/11/1,50.078
TWEXBMTH,1982/12/1,49.2939
TWEXBMTH,1983/1/1,49.2986
TWEXBMTH,1983/2/1,50.1162
TWEXBMTH,1983/3/1,50.7947
TWEXBMTH,1983/4/1,51.5031
TWEXBMTH,1983/5/1,51.681
TWEXBMTH,1983/6/1,52.7268
TWEXBMTH,1983/7/1,53.2555
TWEXBMTH,1983/8/1,54.25
TWEXBMTH,1983/9/1,54.588
TWEXBMTH,1983/10/1,54.3601
TWEXBMTH,1983/11/1,55.1389
TWEXBMTH,1983/12/1,55.9662
TWEXBMTH,1984/1/1,56.6598
TWEXBMTH,1984/2/1,56.4816
TWEXBMTH,1984/3/1,56.2779
TWEXBMTH,1984/4/1,57.013
TWEXBMTH,1984/5/1,58.3156
TWEXBMTH,1984/6/1,59.0032
TWEXBMTH,1984/7/1,60.7986
TWEXBMTH,1984/8/1,61.1534
TWEXBMTH,1984/9/1,62.8506
TWEXBMTH,1984/10/1,63.849
TWEXBMTH,1984/11/1,63.7735
TWEXBMTH,1984/12/1,65.1475
TWEXBMTH,1985/1/1,66.5187
TWEXBMTH,1985/2/1,68.5337
TWEXBMTH,1985/3/1,69.2367
TWEXBMTH,1985/4/1,67.8008
TWEXBMTH,1985/5/1,68.3559
TWEXBMTH,1985/6/1,68.2042
TWEXBMTH,1985/7/1,67.0258
TWEXBMTH,1985/8/1,67.0263
TWEXBMTH,1985/9/1,67.7718
TWEXBMTH,1985/10/1,65.4388
TWEXBMTH,1985/11/1,64.9168
TWEXBMTH,1985/12/1,65.0381
TWEXBMTH,1986/1/1,64.9783
TWEXBMTH,1986/2/1,63.5747
TWEXBMTH,1986/3/1,62.9331
TWEXBMTH,1986/4/1,62.7122
TWEXBMTH,1986/5/1,61.8118
TWEXBMTH,1986/6/1,62.3251
TWEXBMTH,1986/7/1,61.4561
TWEXBMTH,1986/8/1,60.9089
TWEXBMTH,1986/9/1,61.1942
TWEXBMTH,1986/10/1,61.4934
TWEXBMTH,1986/11/1,62.3702
TWEXBMTH,1986/12/1,62.4267
TWEXBMTH,1987/1/1,60.8462
TWEXBMTH,1987/2/1,60.5291
TWEXBMTH,1987/3/1,60.4773
TWEXBMTH,1987/4/1,59.7043
TWEXBMTH,1987/5/1,59.6325
TWEXBMTH,1987/6/1,60.5782
TWEXBMTH,1987/7/1,61.6028
TWEXBMTH,1987/8/1,61.638
TWEXBMTH,1987/9/1,60.9387
TWEXBMTH,1987/10/1,61.0368
TWEXBMTH,1987/11/1,59.4714
TWEXBMTH,1987/12/1,58.6431
TWEXBMTH,1988/1/1,59.104
TWEXBMTH,1988/2/1,59.7802
TWEXBMTH,1988/3/1,59.2901
TWEXBMTH,1988/4/1,59.0075
TWEXBMTH,1988/5/1,59.4392
TWEXBMTH,1988/6/1,60.5403
TWEXBMTH,1988/7/1,62.1886
TWEXBMTH,1988/8/1,63.0768
TWEXBMTH,1988/9/1,63.3727
TWEXBMTH,1988/10/1,62.344
TWEXBMTH,1988/11/1,61.3602
TWEXBMTH,1988/12/1,61.5591
TWEXBMTH,1989/1/1,62.9025
TWEXBMTH,1989/2/1,63.2856
TWEXBMTH,1989/3/1,64.3096
TWEXBMTH,1989/4/1,64.8369
