Entity,Year,Agree "Most people can be trusted"
China,1993,59.4
China,1998,50.4
China,2004,52.5
China,2010,49.28643
China,2014,60.342
China,2022,63.48947
United States,1984,39.2496
United States,1993,49.9909
United States,1998,34.95129
United States,2004,35.51853
United States,2010,39.13124
United States,2014,34.81074
United States,2022,37.02172
France,1984,22.29873
France,1993,21.35729
France,2004,21.43032
France,2010,23.68455
France,2022,26.25627
